0.340000,-0.005000,0.065000,0.340000,0.005000,0.065000
0.005000,-0.810000,0.065000,0.005000,0.800000,0.065000
0.345000,-0.810000,0.005000,0.335000,0.800000,0.005000
0.345000,-0.035000,0.125000,0.335000,0.025000,0.005000
0.675000,-0.810000,0.065000,0.005000,0.800000,0.055000
0.145000,-0.055000,0.065000,0.095000,0.005000,0.055000
0.445000,-0.055000,0.065000,0.195000,0.005000,0.055000
0.035000,-0.835000,0.125000,0.025000,0.775000,0.005000
0.055000,-0.645000,0.065000,0.005000,0.585000,0.055000
0.150000,-0.645000,0.015000,0.090000,0.585000,0.005000
0.235000,-0.525000,0.075000,0.005000,0.465000,0.055000
0.250000,-0.525000,0.125000,0.010000,0.465000,0.005000
0.255000,-0.525000,0.065000,0.005000,0.465000,0.055000
0.450000,-0.645000,0.015000,0.190000,0.585000,0.005000
0.635000,-0.810000,0.075000,0.005000,0.750000,0.055000
0.660000,-0.835000,0.125000,0.020000,0.775000,0.005000
0.490000,-0.880000,0.075000,0.010000,0.350000,0.055000
0.245000,-0.985000,0.065000,0.005000,0.005000,0.055000
0.250000,-1.110000,0.015000,0.010000,0.120000,0.005000
0.270000,-1.225000,0.075000,0.210000,0.005000,0.055000
0.280000,-1.250000,0.125000,0.220000,0.020000,0.005000
0.495000,-1.250000,0.065000,0.005000,0.020000,0.055000
0.570000,-1.395000,0.015000,0.070000,0.165000,0.005000
0.270000,-1.265000,0.065000,0.220000,0.005000,0.055000
0.055000,-1.375000,0.065000,0.005000,0.105000,0.055000
0.280000,-1.415000,0.015000,0.220000,0.145000,0.005000
0.065000,-1.515000,0.075000,0.005000,0.045000,0.055000
0.350000,-1.555000,0.075000,0.280000,0.005000,0.055000
0.350000,-1.585000,0.125000,0.290000,0.025000,0.005000
0.340000,-1.605000,0.065000,0.330000,0.005000,0.055000
