-0.0783,1.0416,0.0284,-0.0123,0.0690,-1.2383,0.0369,-0.0086,0.0287,-0.0189,-0.0145,0.0048,0.0041,-0.0011,1.0000,-0.0207,0.0601,-0.9534,0.3853,0.3945,0.5897,0.5901,-0.0223,-0.1161,-0.9483,-0.3607,0.3521,-0.6086,0.6128
-0.0762,1.0240,0.0251,-0.0223,0.0685,-1.2164,0.0389,0.0013,0.0284,-0.0189,-0.0141,0.0047,0.0039,-0.0011,1.0000,-0.0206,0.0601,-0.9534,0.3852,0.3942,0.5898,0.5902,-0.0222,-0.1161,-0.9483,-0.3604,0.3520,-0.6088,0.6129
-0.0740,1.0064,0.0218,-0.0323,0.0681,-1.1946,0.0409,0.0113,0.0281,-0.0189,-0.0137,0.0046,0.0037,-0.0012,1.0000,-0.0205,0.0601,-0.9534,0.3851,0.3939,0.5899,0.5904,-0.0221,-0.1161,-0.9484,-0.3601,0.3518,-0.6090,0.6130
-0.0719,0.9888,0.0186,-0.0423,0.0677,-1.1727,0.0429,0.0213,0.0277,-0.0190,-0.0133,0.0045,0.0035,-0.0012,1.0000,-0.0204,0.0601,-0.9534,0.3850,0.3936,0.5900,0.5905,-0.0220,-0.1161,-0.9484,-0.3598,0.3517,-0.6091,0.6131
-0.0698,0.9712,0.0153,-0.0523,0.0673,-1.1509,0.0449,0.0312,0.0274,-0.0190,-0.0129,0.0043,0.0032,-0.0012,1.0000,-0.0203,0.0601,-0.9534,0.3848,0.3933,0.5902,0.5907,-0.0219,-0.1161,-0.9484,-0.3594,0.3515,-0.6093,0.6132
-0.0676,0.9536,0.0120,-0.0623,0.0668,-1.1290,0.0469,0.0412,0.0270,-0.0190,-0.0125,0.0042,0.0030,-0.0013,1.0000,-0.0202,0.0601,-0.9535,0.3847,0.3930,0.5903,0.5908,-0.0218,-0.1161,-0.9484,-0.3591,0.3514,-0.6095,0.6133
-0.0655,0.9360,0.0087,-0.0723,0.0664,-1.1072,0.0489,0.0512,0.0267,-0.0190,-0.0121,0.0041,0.0028,-0.0013,1.0000,-0.0201,0.0600,-0.9535,0.3846,0.3928,0.5904,0.5910,-0.0217,-0.1161,-0.9484,-0.3588,0.3512,-0.6097,0.6134
-0.0634,0.9184,0.0054,-0.0823,0.0660,-1.0853,0.0509,0.0611,0.0263,-0.0190,-0.0117,0.0040,0.0026,-0.0013,1.0000,-0.0200,0.0600,-0.9535,0.3845,0.3925,0.5905,0.5912,-0.0216,-0.1161,-0.9485,-0.3585,0.3510,-0.6099,0.6135
-0.0613,0.9008,0.0021,-0.0923,0.0656,-1.0634,0.0529,0.0711,0.0260,-0.0191,-0.0113,0.0038,0.0024,-0.0014,1.0000,-0.0199,0.0600,-0.9535,0.3844,0.3922,0.5906,0.5913,-0.0215,-0.1161,-0.9485,-0.3582,0.3509,-0.6100,0.6136
-0.0591,0.8832,-0.0011,-0.1023,0.0651,-1.0416,0.0549,0.0811,0.0256,-0.0191,-0.0109,0.0037,0.0021,-0.0014,1.0000,-0.0198,0.0600,-0.9535,0.3842,0.3919,0.5907,0.5915,-0.0214,-0.1161,-0.9485,-0.3579,0.3507,-0.6102,0.6137
